1,Deposit,20,2025-03-14 19:01:21,ciao1,2025-03-18 10:45:24
1,Deposit,1,2025-03-18 08:51:23,prova3,2025-03-18 08:51:23
12,Deposit,100,2025-03-18 10:22:51,regalo,2025-03-18 10:22:51
12,Deposit,12,2025-03-18 10:23:06,regalo2,2025-03-18 10:23:06
12,Deposit,10,2025-03-18 10:23:15,,2025-03-18 10:23:15
12,Deposit,12,2025-03-18 10:28:52,ciao,2025-03-18 10:28:52
12,Withdrawal,200,2025-03-18 10:32:55,ciao,2025-03-18 10:32:55
12,Deposit,100,2025-03-18 10:36:56,ciao6,2025-03-18 10:36:56
12,Withdrawal,20,2025-03-18 10:39:04,stella,2025-03-18 10:39:04
12,Deposit,40,2025-03-18 10:39:25,stella,2025-03-18 10:39:25
1,Withdrawal,3,2025-03-18 10:41:32,ciao7,2025-03-18 10:45:46
123456,Deposit,123,2025-05-14 10:08:15,ao,2025-05-14 10:08:15
